Title,Price,Currency,Condition,Seller Feedback %,Seller Feedback Score,Shipping Cost,Shipping Currency,Original Price,Discount Percentage,Discount Amount,Country,Shipping_Cost,Brand,Processor,RAM,Device Type
"DELL Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 10/11 Pro, WiFi BT",1779.5231999999999,MAD,Refurbished,99.2,2206,37.51,MAD,8473.9976,79,6694.4744,Canada,291.07759999999996,Dell,i7,Unknown,Desktop
"Dell Desktop Computer PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro, WiFi BT",2546.5216,MAD,Refurbished,100.0,14745,47.1,MAD,12732.608,80,10186.0864,Canada,365.496,Dell,i7,32GB,Desktop
"Dell Desktop Computer PC i5, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro WiFi",2802.4464,MAD,Refurbished,100.0,14745,43.2,MAD,14012.3096,80,11209.7856,Canada,335.232,Dell,i5,32GB,Desktop
"DELL Desktop Computer PC i7, up to 32GB RAM 2TB SSD/HDD, Windows 10/11,DVD-ROM",1639.7656,MAD,Refurbished,99.2,2206,35.87,MAD,8198.9056,80,6559.139999999999,Canada,278.35119999999995,Dell,i7,32GB,Desktop
"Lenovo Micro Desktop Computer PC, Up to 16 GB RAM 1TB SSD, Windows 11/10 WiFi",869.4304000000001,MAD,Refurbished,99.6,263,39.65,MAD,1738.8608000000002,50,869.4304000000001,Canada,307.68399999999997,Lenovo,Unknown,Unknown,Desktop
Dell Desktop Computer PC SFF Intel Processor 8GB RAM 500GB HDD Windows 10 Wi-Fi,825.1984,MAD,Refurbished,98.6,127179,37.33,MAD,825.1984,0,0.0,Canada,289.6808,Dell,Unknown,8GB,Desktop
"Dell 3040 Desktop Intel I5, 256GB SSD, 16GB RAM, Windows 11 Pro, Office 21, WIFI",1078.6399999999999,MAD,Used,99.6,3795,0.0,MAD,1078.6399999999999,0,0.0,Canada,0.0,Dell,i5,Unknown,Desktop
Dell Desktop i5 Tower Computer PC Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro WiFi,836.14,MAD,Refurbished,98.6,127179,55.27,MAD,1045.272,20,209.13199999999998,Canada,428.8952,Dell,i5,32GB,Desktop
"Lenovo ThinkCentre M710Q Tiny BareBone No CPU, No Ram, No Hard Drive",349.1224,MAD,Used,99.7,1262,0.0,MAD,349.1224,0,0.0,Canada,0.0,Lenovo,Unknown,Unknown,Desktop
HP Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD/HDD Windows 10 Pro Wi-Fi,1434.824,MAD,Refurbished,98.6,127179,39.88,MAD,1793.6463999999999,20,358.74479999999994,Canada,309.4688,Hp,i5,32GB,Desktop
"HP Mini Desktop Computer PC i7, up to 32GB RAM 1TB M.2 SSD,  Windows 11/10, WiFi",1584.7472,MAD,Refurbished,99.2,2206,60.66,MAD,7923.736,80,6338.9888,Canada,470.72159999999997,Hp,i7,32GB,Desktop
Dell Desktop Computer Tower Up To 16GB RAM 1TB HDD/SSD 22in LCD Windows 10 Pro,1066.224,MAD,Refurbished,98.6,127179,50.33,MAD,1066.224,0,0.0,Canada,390.5608,Dell,Unknown,16GB,Desktop
Refurbished HP 600 G3 SFF Intel i5-6500 3.2GHz 8G Ram 240G SSD Nvidia GPU Win 10,1086.3224,MAD,Refurbished,99.7,1262,0.0,MAD,1086.3224,0,0.0,Canada,0.0,Hp,i5,Unknown,Desktop
